Date,price,day
2019-07-31 22:15:00,33.714729999999996,31
2019-07-31 22:20:00,32.11546,31
2019-07-31 22:25:00,31.23732,31
2019-07-31 22:30:00,32.15248,31
2019-07-31 22:35:00,31.503459999999997,31
2019-07-31 22:40:00,30.93504,31
2019-07-31 22:45:00,28.351409999999998,31
2019-07-31 22:50:00,28.2162,31
2019-07-31 22:55:00,27.83083,31
2019-07-31 23:00:00,30.17414,31
2019-07-31 23:05:00,32.87703,31
2019-07-31 23:10:00,34.24238,31
2019-07-31 23:15:00,33.157579999999996,31
2019-07-31 23:20:00,31.704420000000002,31
2019-07-31 23:25:00,30.156,31
2019-07-31 23:30:00,29.80312,31
2019-07-31 23:35:00,29.522740000000002,31
2019-07-31 23:40:00,27.413520000000002,31
2019-07-31 23:45:00,26.73915,31
2019-07-31 23:50:00,26.71785,31
2019-07-31 23:55:00,25.831210000000002,31
